name,common_name,supercategory,kingdom,phylum,class
Trichonephila fenestrata,Hairy Golden Orb-weaving Spider,Arachnids,Animalia,Arthropoda,Arachnida
Trichonephila plumipes,Tiger Spider,Arachnids,Animalia,Arthropoda,Arachnida
Verrucosa arenata,Arrowhead Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida
Zygiella x-notata,Silver-sided Sector Spider,Arachnids,Animalia,Arthropoda,Arachnida
Cheiracanthium mildei,Yellow Sac Spider,Arachnids,Animalia,Arthropoda,Arachnida
Nyssus coloripes,Spotted ground swift,Arachnids,Animalia,Arthropoda,Arachnida
Badumna longinqua,Grey House Spider,Arachnids,Animalia,Arthropoda,Arachnida
Dysdera crocata,Woodlouse Spider,Arachnids,Animalia,Arthropoda,Arachnida
Kukulcania hibernalis,Southern House Spider,Arachnids,Animalia,Arthropoda,Arachnida
Herpyllus ecclesiasticus,Parson Spider,Arachnids,Animalia,Arthropoda,Arachnida
Frontinella pyramitela,Bowl and Doily Spider,Arachnids,Animalia,Arthropoda,Arachnida
Neriene radiata,Filmy Dome Spider,Arachnids,Animalia,Arthropoda,Arachnida
Hogna radiata,Radiated Wolf Spider,Arachnids,Animalia,Arthropoda,Arachnida
Rabidosa rabida,Rabid Wolf Spider,Arachnids,Animalia,Arthropoda,Arachnida
Oxyopes salticus,Striped Lynx Spider,Arachnids,Animalia,Arthropoda,Arachnida
Oxyopes scalaris,Western Lynx Spider,Arachnids,Animalia,Arthropoda,Arachnida
Peucetia viridans,Green Lynx Spider,Arachnids,Animalia,Arthropoda,Arachnida
Holocnemus pluchei,Marbled Cellar Spider,Arachnids,Animalia,Arthropoda,Arachnida
Pholcus phalangioides,Skull Spider,Arachnids,Animalia,Arthropoda,Arachnida
Dolomedes albineus,Whitebanded Fishing Spider,Arachnids,Animalia,Arthropoda,Arachnida
Dolomedes minor,Nurseryweb Spider,Arachnids,Animalia,Arthropoda,Arachnida
Dolomedes scriptus,Striped Fishing Spider,Arachnids,Animalia,Arthropoda,Arachnida
Dolomedes tenebrosus,Dark Fishing Spider,Arachnids,Animalia,Arthropoda,Arachnida
Dolomedes triton,Six-spotted Fishing Spider,Arachnids,Animalia,Arthropoda,Arachnida
Pisaura mirabilis,European Nursery Web spider,Arachnids,Animalia,Arthropoda,Arachnida
Pisaurina mira,American Nursery Web Spider,Arachnids,Animalia,Arthropoda,Arachnida
Anasaitis canosa,Twinflagged Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida
Attulus fasciger,Asiatic Wall Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida
Colonus hesperus,Colonus hesperus,Arachnids,Animalia,Arthropoda,Arachnida
Colonus sylvanus,Sylvan Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida
Eris militaris,Bronze Jumper,Arachnids,Animalia,Arthropoda,Arachnida
Hasarius adansoni,Adanson's House Jumper,Arachnids,Animalia,Arthropoda,Arachnida
Helpis minitabunda,Bronze hopper,Arachnids,Animalia,Arthropoda,Arachnida
Hentzia mitrata,White-jawed Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida
Hentzia palmarum,Common Hentz Jumper,Arachnids,Animalia,Arthropoda,Arachnida
Hypoblemum griseum,White banded house jumper,Arachnids,Animalia,Arthropoda,Arachnida
Lyssomanes viridis,Magnolia Green Jumper,Arachnids,Animalia,Arthropoda,Arachnida
Maevia inclemens,Dimorphic Jumper,Arachnids,Animalia,Arthropoda,Arachnida
Marpissa muscosa,Fencepost jumping spider,Arachnids,Animalia,Arthropoda,Arachnida
Menemerus bivittatus,Gray Wall Jumper,Arachnids,Animalia,Arthropoda,Arachnida
Menemerus semilimbatus,Menemerus semilimbatus,Arachnids,Animalia,Arthropoda,Arachnida
Metacyrba taeniola,Ribbon Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida
Naphrys pulex,Flea Jumper,Arachnids,Animalia,Arthropoda,Arachnida
Paraphidippus aurantius,Golden Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida
Pelegrina galathea,Peppered Jumper,Arachnids,Animalia,Arthropoda,Arachnida
Phidippus audax,Bold Jumper,Arachnids,Animalia,Arthropoda,Arachnida
Phidippus clarus,Brilliant Jumper,Arachnids,Animalia,Arthropoda,Arachnida
Phidippus johnsoni,Johnson's Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida
Philaeus chrysops,Red-bellied Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida
Platycryptus undatus,Tan Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida
Plexippus paykulli,Pantropical Jumper,Arachnids,Animalia,Arthropoda,Arachnida
Salticus scenicus,Zebra Jumper,Arachnids,Animalia,Arthropoda,Arachnida
Sassacus vitis,Buttonhook Leaf-beetle Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida
Trite auricoma,Golden-brown Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida
Trite planiceps,Black-headed Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida
Loxosceles reclusa,Brown Recluse,Arachnids,Animalia,Arthropoda,Arachnida
Heteropoda venatoria,Giant Crab Spider,Arachnids,Animalia,Arthropoda,Arachnida
Micrommata virescens,Green Huntsman Spider,Arachnids,Animalia,Arthropoda,Arachnida
Olios giganteus,Giant Crab Spider,Arachnids,Animalia,Arthropoda,Arachnida
Leucauge argyra,Leucauge argyra,Arachnids,Animalia,Arthropoda,Arachnida
Leucauge argyrobapta,Mabel Orchard Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida
Leucauge venusta,Orchard Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida
Aphonopelma chalcodes,Desert Blonde Tarantula,Arachnids,Animalia,Arthropoda,Arachnida
Aphonopelma eutylenum,California Ebony Tarantula,Arachnids,Animalia,Arthropoda,Arachnida
Aphonopelma hentzi,Texas Brown Tarantula,Arachnids,Animalia,Arthropoda,Arachnida
Aphonopelma iodius,Desert Tarantula,Arachnids,Animalia,Arthropoda,Arachnida
Enoplognatha ovata,Common candy-striped spider,Arachnids,Animalia,Arthropoda,Arachnida
Latrodectus geometricus,Brown Widow,Arachnids,Animalia,Arthropoda,Arachnida
Latrodectus hasselti,Redback Spider,Arachnids,Animalia,Arthropoda,Arachnida
Latrodectus hesperus,Western Black Widow,Arachnids,Animalia,Arthropoda,Arachnida
Latrodectus katipo,Katipō,Arachnids,Animalia,Arthropoda,Arachnida
Latrodectus mactans,Southern Black Widow,Arachnids,Animalia,Arthropoda,Arachnida
Latrodectus variolus,Northern Black Widow,Arachnids,Animalia,Arthropoda,Arachnida
Parasteatoda tepidariorum,Common House Spider,Arachnids,Animalia,Arthropoda,Arachnida
Steatoda capensis,Brown House Spider,Arachnids,Animalia,Arthropoda,Arachnida
Steatoda grossa,False Black Widow,Arachnids,Animalia,Arthropoda,Arachnida
Steatoda nobilis,Noble False Widow,Arachnids,Animalia,Arthropoda,Arachnida
Steatoda triangulosa,Triangulate Comb-foot,Arachnids,Animalia,Arthropoda,Arachnida
Misumena vatia,Goldenrod Crab Spider,Arachnids,Animalia,Arthropoda,Arachnida
Misumenoides formosipes,white-banded crab spider,Arachnids,Animalia,Arthropoda,Arachnida
Sidymella trapezia,Trapezoid Crab Spider,Arachnids,Animalia,Arthropoda,Arachnida
Synema globosum,Napoleon Spider,Arachnids,Animalia,Arthropoda,Arachnida
Thomisus onustus,Flower Spider,Arachnids,Animalia,Arthropoda,Arachnida
Zoropsis spinimana,Mediterranean Spiny False Wolf Spider,Arachnids,Animalia,Arthropoda,Arachnida
Aceria parulmi,Elm Finger Gall Mite,Arachnids,Animalia,Arthropoda,Arachnida
Aculops rhois,Poison Ivy Leaf Mite,Arachnids,Animalia,Arthropoda,Arachnida
Aculus tetanothrix,Willow Bead Gall Mite,Arachnids,Animalia,Arthropoda,Arachnida
Eriophyes cerasicrumena,Black Cherry Leaf Gall,Arachnids,Animalia,Arthropoda,Arachnida
Eriophyes tiliae,Red Nail Gall Mite,Arachnids,Animalia,Arthropoda,Arachnida
Vasates quadripedes,maple bladdergall mite,Arachnids,Animalia,Arthropoda,Arachnida
Amblyomma americanum,Lone Star Tick,Arachnids,Animalia,Arthropoda,Arachnida
Dermacentor occidentalis,Pacific Coast Tick,Arachnids,Animalia,Arthropoda,Arachnida
Dermacentor variabilis,American Dog Tick,Arachnids,Animalia,Arthropoda,Arachnida
Ixodes pacificus,Western Blacklegged Tick,Arachnids,Animalia,Arthropoda,Arachnida
Ixodes ricinus,Castor Bean Tick,Arachnids,Animalia,Arthropoda,Arachnida
Ixodes scapularis,Blacklegged Tick,Arachnids,Animalia,Arthropoda,Arachnida
Mitopus morio,Saddleback Harvestman,Arachnids,Animalia,Arthropoda,Arachnida
Opilio canestrinii,Canestrini's Harvestman,Arachnids,Animalia,Arthropoda,Arachnida
Phalangium opilio,European Harvestman,Arachnids,Animalia,Arthropoda,Arachnida
Leiobunum rotundum,Leiobunum rotundum,Arachnids,Animalia,Arthropoda,Arachnida
Leiobunum townsendi,Leiobunum townsendi,Arachnids,Animalia,Arthropoda,Arachnida
Leiobunum vittatum,Eastern Harvestman,Arachnids,Animalia,Arthropoda,Arachnida
Centruroides sculpturatus,Arizona Bark Scorpion,Arachnids,Animalia,Arthropoda,Arachnida
Centruroides vittatus,Striped Bark Scorpion,Arachnids,Animalia,Arthropoda,Arachnida
Hadrurus arizonensis,Desert Hairy Scorpion,Arachnids,Animalia,Arthropoda,Arachnida
Paravaejovis puritanus,Paravaejovis puritanus,Arachnids,Animalia,Arthropoda,Arachnida
Paravaejovis spinigerus,Stripe-tailed Scorpion,Arachnids,Animalia,Arthropoda,Arachnida
Paruroctonus silvestrii,California common scorpion,Arachnids,Animalia,Arthropoda,Arachnida
Uroctonus mordax,Western Forest Scorpion,Arachnids,Animalia,Arthropoda,Arachnida
Vaejovis carolinianus,Southern Devil Scorpion,Arachnids,Animalia,Arthropoda,Arachnida
Hemiscolopendra marginata,Eastern Bark Centipede,Animalia,Animalia,Arthropoda,Chilopoda
Scolopendra cingulata,Mediterranean Banded Centipede,Animalia,Animalia,Arthropoda,Chilopoda
Scolopendra heros,Giant Desert Centipede,Animalia,Animalia,Arthropoda,Chilopoda
Scolopendra polymorpha,Common Desert Centipede,Animalia,Animalia,Arthropoda,Chilopoda
Scutigera coleoptrata,House Centipede,Animalia,Animalia,Arthropoda,Chilopoda
Ommatoiulus moreleti,Portuguese Millipede,Animalia,Animalia,Arthropoda,Diplopoda
Oxidus gracilis,Greenhouse Millipede,Animalia,Animalia,Arthropoda,Diplopoda
Apheloria virginiensis,Black-and-gold Flat Millipede,Animalia,Animalia,Arthropoda,Diplopoda
Harpaphe haydeniana,Yellow-spotted Millipede,Animalia,Animalia,Arthropoda,Diplopoda
Anadenobolus monilicornis,Bumblebee Millipede,Animalia,Animalia,Arthropoda,Diplopoda
Trigoniulus corallinus,Rusty Millipede,Animalia,Animalia,Arthropoda,Diplopoda
Lepas anatifera,Pelagic Gooseneck Barnacle,Animalia,Animalia,Arthropoda,Hexanauplia
Lepas anserifera,Goose Barnacle,Animalia,Animalia,Arthropoda,Hexanauplia
Pollicipes polymerus,Goose Barnacle,Animalia,Animalia,Arthropoda,Hexanauplia
Balanus glandula,Pacific Barnacle,Animalia,Animalia,Arthropoda,Hexanauplia
Semibalanus balanoides,Northern Rock Barnacle,Animalia,Animalia,Arthropoda,Hexanauplia
Semibalanus cariosus,Thatched Barnacle,Animalia,Animalia,Arthropoda,Hexanauplia
Tetraclita rubescens,Pink Volcano Barnacle,Animalia,Animalia,Arthropoda,Hexanauplia
Aptera fusca,Cape Mountain Cockroach,Insects,Animalia,Arthropoda,Insecta
Panchlora nivea,Banana Cockroach,Insects,Animalia,Arthropoda,Insecta
Pycnoscelus surinamensis,Surinam Cockroach,Insects,Animalia,Arthropoda,Insecta
Blatta orientalis,Oriental Cockroach,Insects,Animalia,Arthropoda,Insecta
Periplaneta americana,American Cockroach,Insects,Animalia,Arthropoda,Insecta
Periplaneta australasiae,Australian Cockroach,Insects,Animalia,Arthropoda,Insecta
Periplaneta fuliginosa,Smoky-brown Cockroach,Insects,Animalia,Arthropoda,Insecta
Pseudomops septentrionalis,Pale-bordered Field Cockroach,Insects,Animalia,Arthropoda,Insecta
Arrhenodes minutus,Oak Timberworm,Insects,Animalia,Arthropoda,Insecta
Agrilus planipennis,Emerald Ash Borer,Insects,Animalia,Arthropoda,Insecta
Buprestis aurulenta,Golden Buprestid Beetle,Insects,Animalia,Arthropoda,Insecta
Euchroma giganteum,Ceiba Borer Beetle,Insects,Animalia,Arthropoda,Insecta
Atalantycha bilineata,Two-lined Leatherwing,Insects,Animalia,Arthropoda,Insecta
Cantharis fusca,Dark Sailor Beetle,Insects,Animalia,Arthropoda,Insecta
Cantharis livida,Cantharis livida,Insects,Animalia,Arthropoda,Insecta
Cantharis rustica,Rustic Sailor Beetle,Insects,Animalia,Arthropoda,Insecta
Chauliognathus basalis,Colorado Soldier Beetle,Insects,Animalia,Arthropoda,Insecta
Chauliognathus marginatus,Margined Leatherwing Beetle,Insects,Animalia,Arthropoda,Insecta
Chauliognathus pensylvanicus,Goldenrod Soldier Beetle,Insects,Animalia,Arthropoda,Insecta
Rhagonycha fulva,Common Red Soldier Beetle,Insects,Animalia,Arthropoda,Insecta
Calosoma scrutator,Fiery Searcher Beetle,Insects,Animalia,Arthropoda,Insecta
Carabus coriaceus,Carabus coriaceus,Insects,Animalia,Arthropoda,Insecta
Carabus granulatus,Granulated Ground Beetle,Insects,Animalia,Arthropoda,Insecta
Carabus nemoralis,Wood Ground-beetle,Insects,Animalia,Arthropoda,Insecta
Cicindela aurulenta,Golden-spotted Tiger Beetle,Insects,Animalia,Arthropoda,Insecta
Cicindela campestris,Green Tiger Beetle,Insects,Animalia,Arthropoda,Insecta
Cicindela duodecimguttata,Twelve-spotted Tiger Beetle,Insects,Animalia,Arthropoda,Insecta
Cicindela formosa,Beautiful Tiger Beetle,Insects,Animalia,Arthropoda,Insecta
Cicindela hirticollis,Hairy-necked Tiger Beetle,Insects,Animalia,Arthropoda,Insecta
Cicindela hybrida,Northern Dune Tiger Beetle,Insects,Animalia,Arthropoda,Insecta
Cicindela longilabris,Boreal Long-lipped Tiger Beetle,Insects,Animalia,Arthropoda,Insecta
Cicindela ocellata,Ocellated Tiger Beetle,Insects,Animalia,Arthropoda,Insecta
Cicindela oregona,Oregon Tiger Beetle,Insects,Animalia,Arthropoda,Insecta
Cicindela punctulata,Backroad Tiger Beetle,Insects,Animalia,Arthropoda,Insecta
Cicindela purpurea,Purple Tiger Beetle,Insects,Animalia,Arthropoda,Insecta
Cicindela repanda,Bronzed Tiger Beetle,Insects,Animalia,Arthropoda,Insecta
Cicindela scutellaris,Festive Tiger Beetle,Insects,Animalia,Arthropoda,Insecta
Cicindela sexguttata,Six-spotted Tiger Beetle,Insects,Animalia,Arthropoda,Insecta
Cicindela tranquebarica,Oblique-lined Tiger Beetle,Insects,Animalia,Arthropoda,Insecta
Cicindela trifasciata,S-banded Tiger Beetle,Insects,Animalia,Arthropoda,Insecta
Harpalus rufipes,Strawberry Seed Beetle,Insects,Animalia,Arthropoda,Insecta
Scaphinotus angusticollis,Narrow-collared Snail-eating Beetle,Insects,Animalia,Arthropoda,Insecta
Scarites subterraneus,Big-headed Ground Beetle,Insects,Animalia,Arthropoda,Insecta
Tetracha carolina,Carolina Metallic Tiger Beetle,Insects,Animalia,Arthropoda,Insecta
Agapanthia villosoviridescens,Golden-bloomed Longhorn,Insects,Animalia,Arthropoda,Insecta
Analeptura lineola,Analeptura lineola,Insects,Animalia,Arthropoda,Insecta
Aromia moschata,Musk beetle,Insects,Animalia,Arthropoda,Insecta
Cerambyx scopolii,Capricorn beetle,Insects,Animalia,Arthropoda,Insecta
Clytus arietis,Wasp Beetle,Insects,Animalia,Arthropoda,Insecta
Clytus ruricola,Round-necked Longhorn Beetle,Insects,Animalia,Arthropoda,Insecta
Dendrobias mandibularis,Long-jawed Longhorn Beetle,Insects,Animalia,Arthropoda,Insecta
Desmocerus palliatus,Elderberry Borer,Insects,Animalia,Arthropoda,Insecta
Eburia quadrigeminata,Ivory-marked Borer,Insects,Animalia,Arthropoda,Insecta
Elaphidion mucronatum,Spined Oak Borer,Insects,Animalia,Arthropoda,Insecta
Graphisurus fasciatus,Banded Graphisurus,Insects,Animalia,Arthropoda,Insecta
Knulliana cincta,Banded Hickory Borer,Insects,Animalia,Arthropoda,Insecta
Leptura quadrifasciata,four-banded longhorn beetle,Insects,Animalia,Arthropoda,Insecta
Lepturobosca chrysocoma,Yellow Velvet Beetle,Insects,Animalia,Arthropoda,Insecta
Mallodon dasystomus,Hardwood Stump Borer,Insects,Animalia,Arthropoda,Insecta
Megacyllene robiniae,Locust Borer,Insects,Animalia,Arthropoda,Insecta
Monochamus clamator,Spotted Pine Sawyer,Insects,Animalia,Arthropoda,Insecta
Monochamus notatus,Northeastern Pine Sawyer,Insects,Animalia,Arthropoda,Insecta
Monochamus scutellatus,White-spotted Sawyer,Insects,Animalia,Arthropoda,Insecta
Morimus asper,Morimus asper,Insects,Animalia,Arthropoda,Insecta
Neoclytus acuminatus,Red-headed Ash Borer,Insects,Animalia,Arthropoda,Insecta
Orthosoma brunneum,Brown Prionid,Insects,Animalia,Arthropoda,Insecta
Plectrodera scalator,Cottonwood Borer,Insects,Animalia,Arthropoda,Insecta
Prionoplus reticularis,Huhu,Insects,Animalia,Arthropoda,Insecta
Prionus californicus,California Prionus,Insects,Animalia,Arthropoda,Insecta
Prionus coriarius,The Tanner,Insects,Animalia,Arthropoda,Insecta
Prionus imbricornis,Tile-horned Prionus,Insects,Animalia,Arthropoda,Insecta
Prionus laticollis,Broad-necked Root Borer,Insects,Animalia,Arthropoda,Insecta
Pseudovadonia livida,Fairy-ring Longhorn Beetle,Insects,Animalia,Arthropoda,Insecta
Rhagium inquisitor,Ribbed Pine Borer,Insects,Animalia,Arthropoda,Insecta
Rhagium mordax,Blackspotted Longhorn Beetle,Insects,Animalia,Arthropoda,Insecta
Rosalia funebris,Banded Alder Borer,Insects,Animalia,Arthropoda,Insecta
Rutpela maculata,Spotted Longhorn,Insects,Animalia,Arthropoda,Insecta
Sphaenothecus bilineatus,Double-banded Bycid,Insects,Animalia,Arthropoda,Insecta
Stenurella melanura,Black-striped Longhorn Beetle,Insects,Animalia,Arthropoda,Insecta
Stictoleptura canadensis,Red-shouldered Pine Borer,Insects,Animalia,Arthropoda,Insecta
Stictoleptura rubra,Red Pine Longhorn,Insects,Animalia,Arthropoda,Insecta
Strangalepta abbreviata,Strangalepta Flower Longhorn,Insects,Animalia,Arthropoda,Insecta
Strangalia luteicornis,Yellow-horned Lepture,Insects,Animalia,Arthropoda,Insecta
Tetraopes femoratus,Red-femured Milkweed Borer,Insects,Animalia,Arthropoda,Insecta
Tetraopes tetrophthalmus,Eastern Milkweed Longhorn Beetle,Insects,Animalia,Arthropoda,Insecta
Trichocnemis spiculatus,Spined Woodborer,Insects,Animalia,Arthropoda,Insecta
Typocerus velutinus,Banded Longhorn,Insects,Animalia,Arthropoda,Insecta
Typocerus zebra,Zebra Longhorn,Insects,Animalia,Arthropoda,Insecta
Xylotrechus colonus,Rustic Borer Beetle,Insects,Animalia,Arthropoda,Insecta
Acalymma vittatum,Striped Cucumber Beetle,Insects,Animalia,Arthropoda,Insecta
Agelastica alni,Alder Leaf Beetle,Insects,Animalia,Arthropoda,Insecta
Anomoea laticlavia,Clay-colored Leaf Beetle,Insects,Animalia,Arthropoda,Insecta
Aspidimorpha miliaris,Spotted Tortoise Beetle,Insects,Animalia,Arthropoda,Insecta
Cassida rubiginosa,Thistle Tortoise Beetle,Insects,Animalia,Arthropoda,Insecta
Cerotoma trifurcata,Bean Leaf Beetle,Insects,Animalia,Arthropoda,Insecta
Charidotella sexpunctata,Golden Tortoise Beetle,Insects,Animalia,Arthropoda,Insecta
Chrysochus auratus,Dogbane Leaf Beetle,Insects,Animalia,Arthropoda,Insecta
Chrysochus cobaltinus,Cobalt Milkweed Beetle,Insects,Animalia,Arthropoda,Insecta
Chrysolina americana,Rosemary Beetle,Insects,Animalia,Arthropoda,Insecta
Chrysolina bankii,Chrysolina bankii,Insects,Animalia,Arthropoda,Insecta
Chrysolina fastuosa,Dead-nettle Leaf Beetle,Insects,Animalia,Arthropoda,Insecta
Chrysomela populi,Poplar Leaf Beetle,Insects,Animalia,Arthropoda,Insecta
Chrysomela scripta,Cottonwood Leaf Beetle,Insects,Animalia,Arthropoda,Insecta
Chrysomela vigintipunctata,Spotted Willow Leaf Beetle,Insects,Animalia,Arthropoda,Insecta
Clytra laeviuscula,Clytra laeviuscula,Insects,Animalia,Arthropoda,Insecta
Deloyala guttata,Mottled Tortoise Beetle,Insects,Animalia,Arthropoda,Insecta
Diabrotica balteata,Banded Cucumber Beetle,Insects,Animalia,Arthropoda,Insecta
Diabrotica undecimpunctata,Spotted Cucumber Beetle,Insects,Animalia,Arthropoda,Insecta
Disonycha glabrata,Pigweed Flea Beetle,Insects,Animalia,Arthropoda,Insecta
Galeruca tanaceti,Galeruca tanaceti,Insects,Animalia,Arthropoda,Insecta
Gastrophysa viridula,Green Dock-beetle,Insects,Animalia,Arthropoda,Insecta
Helocassis clavata,Clavate Tortoise Beetle,Insects,Animalia,Arthropoda,Insecta
Labidomera clivicollis,Milkweed Leaf Beetle,Insects,Animalia,Arthropoda,Insecta
Lema daturaphila,Three-lined Potato Beetle,Insects,Animalia,Arthropoda,Insecta
Leptinotarsa decemlineata,Colorado Potato Beetle,Insects,Animalia,Arthropoda,Insecta
Leptinotarsa juncta,False Potato Beetle,Insects,Animalia,Arthropoda,Insecta
Lilioceris lilii,Lily Leaf Beetle,Insects,Animalia,Arthropoda,Insecta
Omophoita cyanipennis,Eight-spotted Flea Beetle,Insects,Animalia,Arthropoda,Insecta
Ophraella communa,ragweed leaf beetle,Insects,Animalia,Arthropoda,Insecta
Plagiodera versicolora,Willow Leaf Beetle,Insects,Animalia,Arthropoda,Insecta
Timarcha tenebricosa,Bloody-nosed Beetle,Insects,Animalia,Arthropoda,Insecta
Trachymela sloanei,Australian Tortoise Beetle,Insects,Animalia,Arthropoda,Insecta
Xanthogaleruca luteola,Elm Leaf Beetle,Insects,Animalia,Arthropoda,Insecta
Zygogramma signatipennis,Zygogramma signatipennis,Insects,Animalia,Arthropoda,Insecta
Trichodes alvearius,Trichodes alvearius,Insects,Animalia,Arthropoda,Insecta
Trichodes apiarius,Trichodes apiarius,Insects,Animalia,Arthropoda,Insecta
